%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
633472000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34933.1943755,633471000000,633471000000,633471000000
633572000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35354.466306,633572000000,633572000000,633572000000
633672000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35081.3315754,633672000000,633672000000,633672000000
633773000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34706.907331,633772000000,633772000000,633772000000
633873000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34823.0148052,633873000000,633873000000,633873000000
633973000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34547.4418533,633973000000,633973000000,633973000000
634073000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35017.0064418,634072000000,634072000000,634072000000
634173000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35118.7236727,634173000000,634173000000,634173000000
634274000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35130.9962518,634274000000,634274000000,634274000000
634375000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34464.8841722,634374000000,634374000000,634374000000
634474000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35155.4117004,634474000000,634474000000,634474000000
634575000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35473.2015024,634575000000,634575000000,634575000000
634675000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35011.5803987,634675000000,634675000000,634675000000
634776000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35243.4171684,634775000000,634775000000,634775000000
634876000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34909.8551004,634875000000,634875000000,634875000000
634976000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34450.8920724,634976000000,634976000000,634976000000
635077000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35220.0822426,635076000000,635076000000,635076000000
635177000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35134.5769033,635177000000,635177000000,635177000000
635277000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34699.0634591,635277000000,635277000000,635277000000
635378000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35310.7082728,635377000000,635377000000,635377000000
635478000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35040.0312309,635478000000,635478000000,635478000000
635578000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34323.8670213,635578000000,635578000000,635578000000
635679000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34588.2237174,635678000000,635678000000,635678000000
635779000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34464.9997361,635779000000,635779000000,635779000000
635879000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34654.2912095,635879000000,635879000000,635879000000
635979000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34863.6848383,635979000000,635979000000,635979000000
636080000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35713.269375,636079000000,636079000000,636079000000
636180000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35047.6778374,636180000000,636180000000,636180000000
636280000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34986.2084865,636280000000,636280000000,636280000000
636380000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35040.983016,636380000000,636380000000,636380000000
636481000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35003.5100259,636480000000,636480000000,636480000000
636581000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35230.8695938,636581000000,636581000000,636581000000
636681000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34839.5948313,636681000000,636681000000,636681000000
636782000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35186.2547715,636781000000,636781000000,636781000000
636882000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35014.077559,636882000000,636882000000,636882000000
636983000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35098.7987263,636982000000,636982000000,636982000000
637083000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35097.1938471,637083000000,637083000000,637083000000
637183000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34926.720254,637183000000,637183000000,637183000000
637284000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35268.7557524,637283000000,637283000000,637283000000
637384000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35163.4573741,637384000000,637384000000,637384000000
637484000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35270.7994317,637484000000,637484000000,637484000000
637585000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35025.9104336,637584000000,637584000000,637584000000
637685000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35256.9823357,637684000000,637684000000,637684000000
637785000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34946.9684987,637785000000,637785000000,637785000000
637886000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35024.9339383,637885000000,637885000000,637885000000
637986000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35348.4894196,637986000000,637986000000,637986000000
638086000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34804.5659511,638086000000,638086000000,638086000000
638186000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35104.401877,638186000000,638186000000,638186000000
638287000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35096.3046993,638287000000,638287000000,638287000000
638387000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35128.3331675,638387000000,638387000000,638387000000
638487000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34645.5272662,638487000000,638487000000,638487000000
638588000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35177.7772956,638587000000,638587000000,638587000000
638688000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35383.9414932,638688000000,638688000000,638688000000
638788000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35107.5658015,638788000000,638788000000,638788000000
638889000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34975.0058669,638888000000,638888000000,638888000000
638989000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35154.879003,638989000000,638989000000,638989000000
639089000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35087.8898603,639089000000,639089000000,639089000000
639188000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35185.1149302,639188000000,639188000000,639188000000
639288000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34807.3165769,639288000000,639288000000,639288000000
639388000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34705.891457,639388000000,639388000000,639388000000
639489000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35376.4283757,639489000000,639489000000,639489000000
639590000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35021.4543954,639590000000,639590000000,639590000000
639691000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35370.780943,639690000000,639690000000,639690000000
639791000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34813.0397223,639790000000,639790000000,639790000000
639891000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35159.4521852,639891000000,639891000000,639891000000
639992000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34650.5178116,639991000000,639991000000,639991000000
640092000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34956.8551236,640092000000,640092000000,640092000000
640192000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35150.3298349,640192000000,640192000000,640192000000
640293000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34543.3824331,640292000000,640292000000,640292000000
640392000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34904.7088834,640392000000,640392000000,640392000000
640493000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35277.8048718,640493000000,640493000000,640493000000
640593000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34838.2818187,640593000000,640593000000,640593000000
640694000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35756.3239809,640693000000,640693000000,640693000000
640794000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35296.8720659,640794000000,640794000000,640794000000
640894000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35031.1129868,640894000000,640894000000,640894000000
640994000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35301.203904,640994000000,640994000000,640994000000
641095000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35175.4828802,641095000000,641095000000,641095000000
641195000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35056.1312436,641195000000,641195000000,641195000000
641296000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34945.7627473,641295000000,641295000000,641295000000
641396000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34921.019537,641396000000,641396000000,641396000000
641496000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35052.4587872,641496000000,641496000000,641496000000
641596000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35098.3259313,641596000000,641596000000,641596000000
641697000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34565.5635628,641697000000,641697000000,641697000000
641797000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34874.1353727,641797000000,641797000000,641797000000
641897000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35334.6960185,641897000000,641897000000,641897000000
641998000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35364.330768,641997000000,641997000000,641997000000
642098000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35155.2890228,642098000000,642098000000,642098000000
642198000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34866.7178974,642198000000,642198000000,642198000000
642298000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34580.0473769,642298000000,642298000000,642298000000
642399000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34717.5513273,642398000000,642398000000,642398000000
642499000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34875.9015569,642499000000,642499000000,642499000000
642599000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35305.7087301,642599000000,642599000000,642599000000
642700000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35201.7595493,642700000000,642700000000,642700000000
642800000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35333.6343656,642800000000,642800000000,642800000000
642900000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35033.561583,642900000000,642900000000,642900000000
643001000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34727.0177349,643001000000,643001000000,643001000000
643101000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35156.9489259,643101000000,643101000000,643101000000
643201000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34765.6792781,643201000000,643201000000,643201000000
643302000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34593.4606857,643301000000,643301000000,643301000000
643402000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34914.8389259,643402000000,643402000000,643402000000
643502000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34721.556936,643502000000,643502000000,643502000000
643603000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34852.0881649,643602000000,643602000000,643602000000
643703000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34940.0830316,643703000000,643703000000,643703000000
643803000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34907.9726091,643803000000,643803000000,643803000000
643904000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34610.9358288,643903000000,643903000000,643903000000
644004000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35055.9246349,644004000000,644004000000,644004000000
644104000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35033.8418069,644104000000,644104000000,644104000000
644205000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34748.6501312,644204000000,644204000000,644204000000
644305000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34504.4305864,644305000000,644305000000,644305000000
644405000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35182.7923942,644405000000,644405000000,644405000000
644505000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34686.3437567,644505000000,644505000000,644505000000
644606000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34601.1898755,644606000000,644606000000,644606000000
644706000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35056.2649252,644706000000,644706000000,644706000000
644806000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34765.4924284,644806000000,644806000000,644806000000
644906000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34874.5255912,644906000000,644906000000,644906000000
645007000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35144.9218389,645007000000,645007000000,645007000000
645107000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34999.6799739,645107000000,645107000000,645107000000
645207000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35270.246754,645207000000,645207000000,645207000000
